,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
50,100594P2,Guide service,"You will discover the classical Paris in an involving, informative and easy-going way with Guillaume.",es
142,101102P2,Funiculars and cable cars,"Montserrat is Catalunya's pride ( and my favorite place to be) , a very interesting shaped mountain with its famous monastery that became world's favorite pilgrim place. The home of the Black Madonna and a part of the famous Santiago de Compostela pilgrim route . The monastery situated almost on the peak provides us with a spectacular view and an incredible nature . The Benedictine monks produce some extraordinary liqueurs using local herbs and fruits and their cuisine is also a culinary delight. Don't miss the opportunity to hear the most famous children choir ""Escolania"" and visit the very interesting museum of the monastery . . We can optionally use the local Cog-railway to the peak of Montserrat mountain and also have some free time for hiking if you love nature ! I can create a customized tour for you in case you have any special requests ( like , adding a wine tasting of the great Penedes denomination origin) or if you are more than 6 people and need a larger vehicle !",ca
152,101116P8,Local Guide ,"Have you ever wondered which is the most artistic part of Paris? Of course Montmartre is. By choosing this amazing tour you will experience the most bohemian district of all time and you will walk through the streets where the greatest artists lived : Renoir, Picasso, Van Gogh but also the famous singer Edith Piaf!

Our private tour with the very experienced and capturing Alberto and his team members will make you fall in love with this district. You will walk through the amazing narrow streets where the oldest cafes and galleries in the entire Paris are and also see and old Windmill and Vineyard in the middle of Paris.

Obviously Alberto or one of his team will show you the Sacre-Coeur Basilic which is one of the most famous places of Paris and from up there you'll have a marvellous view over Paris!

This amazing tour will make you bounce directly into the past thanks to this terrific old district of Paris told by local guide Alberto or one of his wonderful team! ",es
168,101382P1,Local guide,"Join a walking tour to discover the Georgetown, Texas hiding beyond its facades 
 • Discover the stories hiding just out of reach of thousands of visitors and residents.
 • Explore the human events that have shaped and continue to shape this unique Austin-area community.
 • Experience the attractions of Georgetown’s historic downtown district and why it's considered the “Most Beautiful Town Square in Texas”.
 • Enjoy connections to Georgetown, Texas even many locals overlook.

This is more than a history or sightseeing tour. We take you on a walking journey to discover, experience and connect with the Georgetown, Texas hiding beyond its facades. You will walk among its historic buildings to discover stories both past and present as well as get insider tips on restaurants, shops, and live music venues.",es
172,101505P2,Experience guide ; Food & Drinks,"Take a stroll through the 19th-century with a guide hand-picked by The Bowery Boys New York City history podcast. Join this unique tour of the once elegant Bond Street NOHO neighborhood, former home to some of New York’s most famous families. You’ll learn how the neighborhood from the Bowery to Washington Square evolved into an enclave of the rich and famous, as well as the fringes of the 19th-century underbelly.

Your expert guide Carl will lead you along 19th-century cobblestone streets and introduce you to characters in this real-life drama, such as John Jacob Astor, Washington Irving, Charles Dickens, Edgar Allan Poe, Mrs. Astor, and Edith Wharton.

Our tour will pass by such New York landmarks as the famous Colonnade Row, the Public Theater, and Cooper Union. You’ll also imagine the drama that unfolded on today’s Astor Place during the Opera House riot of 1847.

We’ll visit the site of the notorious 1857 Bond St. Murder, which remains one of New York’s unsolved murder mysteries!",nl
173,101505P3,Experienced guide ; Gratuities,"Take a tour of Ladies’ Mile with a guide hand-picked by The Bowery Boys New York City history podcast. In the 19th-century, this neighborhood was New York’s most famous shopping district, where splendid commercial palaces plied their wares to the city’s elite. Some of the greatest architects and artists of the time created lavish showrooms to entice and delight both shoppers and passers-by. 

Your expert guide Emma will lead you around the neighborhood now known as Chelsea and the Flatiron District to see where wealthy women could shop without male companions. Residents of this neighborhood, such as Isabella Stewart Gardner, Edith Wharton, Samuel Morse, and members of the Roosevelt family.

The buildings of the Ladies’ Mile district includes some of the most important examples of lavish cast-iron architecture in New York City. We'll discuss the incredible architecture that still exists today, and examine how these department stores changed New York.",ro
181,101564P13,Blanket ,"Enjoy a tranquil horse carriage ride through Central Park to reach one of the iconic restaurants in the park. You have the option to get off at The Leob Boathouse Restaurant or at Tavern on the Green. There's nothing quite as romantic as a scenic horse carriage ride through New York City's Central Park. With this private carriage tour, take an idyllic loop through the south side of the park. Enjoy the clip-clop of horse's hooves as you pass several of the park's most memorable sights, including the famous carousel and outdoor ice skating rink. At the end of your ride, hop out at the Loeb Boathouse Restaurant, and enjoy fantastic views of the lake.",da
306,103084P4,Paddle board,"VIATOR Premium Private Experience, EXCLUSIVELY.
This is a perfect option to see the skyline of Barcelona and its surroundings like never before. Bathe in the high seas, practice a little paddle surfing or simply listen to music from your own Spotify playlist. All this is always included in our experiences!

If you book with us we guarantee professionalism, quality and exclusive service

The catamaran is a very suitable boat for people who have a tendency to get dizzy.
It is very stable and allows you to enjoy much more space while browsing.
It has three floors, cabins, deck and the Fly.
Our goal is that you never miss anything on the boat, we want it to be your most special day in Barcelona.
",cy
578,103241P3,Horse Carriage Ride,"TREATING YOU TO THE BEST CENTRAL PARK HORSE AND CARRIAGE RIDES

Whether you are searching for romantic things to do in New York, planning a date or planning a wedding, Central Park Horses will ensure you and your guests receive the most beautiful New York experience possible. See the city like never before with Central Park Horses",nl
584,103241P9,Carriage Ride,"This tour specifically stop at Strawberry Fields and has clear view of John Lennon's House.
Also Includes sightseeing of the following attractions. 
Ice Skating
Carousel
Dairy House
Balto's Statue
Ramsey Playfield (Summer Stage)
Conservatory Water
The Bandshell
BETHESDA TERRACE AND FOUNTAIN 
Cherry Hill
The Lake
Stop at Strawberry Fields
The Dakota building where John Lennon lived in
Tavern on the Green 
Sheep Meadow and Columbus Circle.

",pt
655,10428P20,Tour Guide; Gratuities,"Escape the hustle and bustle of Austin for a fun-filled trip to the Texas Hill Country! The Fitzhugh district of the Texas Hill Country approx. 35-45 minutes southwest of Austin. Hop on this half-day shuttle to spend the afternoon sampling craft beer and spirits at three (3) of the best breweries and distilleries in the area: Beerburg Brewing, Treaty Oak Distilling and Family Business Beer Co.

We’ll be your designated driver! A friendly local guide will escort you in a comfortable Mercedes Sprinter van. Plus, be sure to come hungry because each spot also offers a mouth-watering menu of delicious food options like pizza, tacos, and BBQ. Food and drinks not included.",fr
656,10428P22,Tour Guide,"Join us on our BBQ and Brew Shuttle and discover the hidden gems of Austin's BBQ and craft beer scene! We'll take you to one of the city's best-kept secrets for a delectable BBQ experience, followed by visits to two carefully selected craft breweries. Indulge in mouthwatering BBQ and sample a variety of handcrafted brews, as we transport you between these hidden gems. Our 4-hour shuttle experience, priced at $60 per person, offers the perfect opportunity to explore the flavors and vibes of Austin. Don't miss out on this exciting and delicious tour!
",fr
684,104883P65,Expert guide; Food tastings; Small group tour; Drinks; Gratuities,"This 2.5-hour Street Food Tour is a paradise for foodies: enjoy the chance to stroll through the charming center of Barcelona while you taste the authentic flavors of the city. Meet your food-expert guide at the iconic local market La Boqueria and sample some typical Catalan recipes like a local! Thanks to the variety of this multicultural cuisine, you can choose between sweet and savory treats such as jàmon, cheese, fried fish, pichos, patatas bravas and pastries. The tour ends in the Gothic Quarter, where you will admire the enchanting little alleyways of one of the most authentic parts of the city.",af
769,105229P5,Gratuities,"Venture into the Bohemian heart of Paris. The melting pot of Van Gogh, Picasso and Dali, the footsteps of Toulouse Lautrec, the quaint French café scene and the hidden vineyards - they are all here to be uncovered on this private tour. The narrow cobbled streets will become our playground as we explore the creativity, community and quirky secrets of one of the most unique areas of the City. Guarded by the shadow of Sacre Coeur, we will encounter water colours, portrait sketchers and caricaturists. There's a cabaret scene, the oldest can-can dance theatre in Paris, a chance hear nostalgic tunes hearkening to a bygone Paris era, plenty of stories, history and a taste or Bohemia and culture at their very best. Your hand picked guide will make sure this tour is not just insightful but entertaining and engaging. We want you to see Montmartre through our eyes so that you will see something truly beautiful. Bienvenue - let's go!",af
780,105237P5,Driver/guide; Bebidas alcoólicas (disponíveis para compra)," Guided tour of Mont-Saint-Michel, leaving from Paris

 Lunch in an authentic restaurant offering an exceptional view of the Mont

 Vegetarian menu option available on request

 Take a walk around the village of Mont-Saint-Michel with an enthusiastic guide

 Guided tour of the Abbey with its magnificent cloisters

 Free time to admire the superb view of the bay and stroll through the picturesque streets",pt
796,106033P2,"Transport; Guide; Food, Drinks, Meals","Enjoy scenic views of pyrenees mountain by road trip to Andorra from Barcelona. During three hours journey to Andorra (Divided in 2 parts) you will stop by Baga a medieval village with rich heritage and then head to andorra after a short break. On your way to Andorra you will enjoy stunning views of pyrenees mountains and your guide would guide you about the history and heritage of villages of Pyrenees. After arriving Andorra you will have 4 hours for seeing beautiful valley, an old church, beautiful old village and duty free shopping. Your Guide will give all the information through the course of your journey.",nl
835,106631P166,Kid-friendly guide; Expert guide; Private Tour; Gratuities,"Explore the Orsay Museum with our fun and informative private tour designed for families with children.
Thanks to your skip-the-line tickets you will quickly enter inside one of the most important art galleries of Paris, with its huge collection of Impressionist and Post-Impressionist works of art.
You will see world-famous masterpieces, including Monet’s ‘Blue Water Lilies,’ Cézanne’s ‘Apples and Oranges' and Degas’ Ballet Classe.
Our professional kid-friendly guide will tell you interesting stories about these work and will make your family learn art and history in a playful way.
Everyone will be involved in many entertaining activities, such as quizzes, trivia and little games created for this interactive tour.
",af
